OrderID,OrderDate,ShippingDate,CustomerID,ProductID,Quantity,Discount,Sales,Profit
ORD-000061,2023-09-04 09:00:00,2023-09-10 09:00:00,CUST-0829,PROD-0064,6,0.0,4503.0,3074.88
ORD-000062,2023-08-28 02:00:00,2023-08-30 02:00:00,CUST-0855,PROD-0176,4,0.2,2385.44,640.32
ORD-000063,2023-10-13 11:00:00,2023-10-14 11:00:00,CUST-0861,PROD-0068,7,0.0,900.83,389.97
ORD-000064,2023-05-16 17:00:00,2023-05-17 17:00:00,CUST-0937,PROD-0152,8,0.1,5616.07,3437.51
ORD-000065,2023-12-11 23:00:00,2023-12-17 23:00:00,CUST-0469,PROD-0121,5,0.2,3574.92,1080.82
ORD-000066,2023-11-23 11:00:00,2023-11-24 11:00:00,CUST-0313,PROD-0168,4,0.2,1668.67,923.35
ORD-000067,2023-01-13 19:00:00,2023-01-18 19:00:00,CUST-0385,PROD-0199,6,0.05,2535.13,1359.31
ORD-000068,2023-11-28 02:00:00,2023-12-04 02:00:00,CUST-0447,PROD-0189,8,0.1,6203.23,2088.35
ORD-000069,2023-11-29 13:00:00,2023-11-30 13:00:00,CUST-0346,PROD-0042,3,0.0,2788.86,1320.3
ORD-000070,2023-01-20 09:00:00,2023-01-24 09:00:00,CUST-0137,PROD-0196,2,0.0,1329.14,558.1
ORD-000071,2023-05-01 17:00:00,2023-05-03 17:00:00,CUST-0302,PROD-0113,7,0.2,3685.7,1660.88
ORD-000072,2023-07-09 21:00:00,2023-07-15 21:00:00,CUST-0384,PROD-0012,9,0.2,5983.99,2352.04
ORD-000073,2023-10-28 23:00:00,2023-11-03 23:00:00,CUST-0832,PROD-0144,3,0.2,800.59,271.84
ORD-000074,2023-12-02 03:00:00,2023-12-09 03:00:00,CUST-0021,PROD-0167,8,0.2,1835.9,737.02
ORD-000075,2023-05-24 01:00:00,2023-05-30 01:00:00,CUST-0792,PROD-0175,6,0.05,1357.91,619.79
ORD-000076,2023-08-16 14:00:00,2023-08-18 14:00:00,CUST-0531,PROD-0173,6,0.0,2101.92,842.88
ORD-000077,2023-12-18 11:00:00,2023-12-23 11:00:00,CUST-0374,PROD-0161,6,0.0,5794.92,3586.92
ORD-000078,2023-07-23 08:00:00,2023-07-25 08:00:00,CUST-0545,PROD-0195,2,0.2,1104.82,307.74
ORD-000079,2023-02-16 21:00:00,2023-02-18 21:00:00,CUST-0843,PROD-0071,10,0.0,2463.0,1431.7
ORD-000080,2023-01-26 10:00:00,2023-01-28 10:00:00,CUST-0360,PROD-0178,3,0.05,2795.02,1177.48
ORD-000081,2023-02-05 17:00:00,2023-02-07 17:00:00,CUST-0088,PROD-0094,10,0.05,7453.32,4130.62
ORD-000082,2023-04-30 10:00:00,2023-05-07 10:00:00,CUST-0980,PROD-0059,3,0.0,1472.34,936.24
ORD-000083,2023-05-22 04:00:00,2023-05-24 04:00:00,CUST-0939,PROD-0019,9,0.1,1842.1,1028.95
ORD-000084,2023-03-31 03:00:00,2023-04-06 03:00:00,CUST-0429,PROD-0021,1,0.05,71.75,28.4
ORD-000085,2023-01-08 11:00:00,2023-01-15 11:00:00,CUST-0444,PROD-0159,4,0.1,412.13,142.77
ORD-000086,2023-01-09 05:00:00,2023-01-12 05:00:00,CUST-0600,PROD-0070,1,0.05,501.17,194.97
ORD-000087,2023-08-04 16:00:00,2023-08-05 16:00:00,CUST-0169,PROD-0145,2,0.2,1207.18,377.88
ORD-000088,2023-08-18 11:00:00,2023-08-23 11:00:00,CUST-0696,PROD-0168,10,0.0,5214.6,3351.3
ORD-000089,2023-08-20 16:00:00,2023-08-22 16:00:00,CUST-0983,PROD-0045,10,0.0,2324.5,1391.4
ORD-000090,2023-12-04 16:00:00,2023-12-07 16:00:00,CUST-0734,PROD-0130,8,0.0,2232.0,1348.32
ORD-000091,2023-02-01 15:00:00,2023-02-08 15:00:00,CUST-0716,PROD-0021,7,0.2,422.97,119.52
ORD-000092,2023-12-18 03:00:00,2023-12-22 03:00:00,CUST-0601,PROD-0015,8,0.0,2281.52,1162.0
ORD-000093,2023-02-11 10:00:00,2023-02-16 10:00:00,CUST-0575,PROD-0042,3,0.0,2788.86,1320.3
ORD-000094,2023-03-06 08:00:00,2023-03-11 08:00:00,CUST-0755,PROD-0040,10,0.1,1233.99,627.19
ORD-000095,2023-07-15 19:00:00,2023-07-20 19:00:00,CUST-0916,PROD-0045,5,0.2,929.8,463.25
ORD-000096,2023-09-16 19:00:00,2023-09-20 19:00:00,CUST-0879,PROD-0078,2,0.0,35.48,16.14
ORD-000097,2023-12-02 20:00:00,2023-12-09 20:00:00,CUST-0297,PROD-0164,9,0.05,7548.03,4583.16
ORD-000098,2023-08-09 14:00:00,2023-08-11 14:00:00,CUST-0706,PROD-0034,7,0.1,5312.48,2642.68
ORD-000099,2023-08-21 12:00:00,2023-08-25 12:00:00,CUST-0004,PROD-0151,2,0.1,1384.61,845.63
ORD-000100,2023-08-07 10:00:00,2023-08-13 10:00:00,CUST-0791,PROD-0062,5,0.1,3148.34,1332.29
ORD-000101,2023-03-20 21:00:00,2023-03-24 21:00:00,CUST-0529,PROD-0146,2,0.0,951.2,452.1
ORD-000102,2023-02-13 02:00:00,2023-02-17 02:00:00,CUST-0693,PROD-0146,2,0.1,856.08,356.98
ORD-000103,2023-03-08 17:00:00,2023-03-09 17:00:00,CUST-0391,PROD-0021,10,0.1,679.77,246.27
ORD-000104,2023-12-10 03:00:00,2023-12-14 03:00:00,CUST-0925,PROD-0151,6,0.2,3692.3,2075.36
ORD-000105,2023-01-27 09:00:00,2023-02-01 09:00:00,CUST-0455,PROD-0158,5,0.1,2299.05,1271.2
ORD-000106,2023-02-23 18:00:00,2023-02-28 18:00:00,CUST-0074,PROD-0169,4,0.05,1876.02,834.42
ORD-000107,2023-12-03 15:00:00,2023-12-05 15:00:00,CUST-0054,PROD-0200,2,0.1,1697.85,848.65
ORD-000108,2023-10-12 11:00:00,2023-10-13 11:00:00,CUST-0083,PROD-0034,5,0.05,4005.44,2098.44
ORD-000109,2023-08-08 17:00:00,2023-08-15 17:00:00,CUST-0302,PROD-0071,10,0.0,2463.0,1431.7
ORD-000110,2023-11-08 21:00:00,2023-11-15 21:00:00,CUST-0707,PROD-0009,5,0.0,528.75,235.7
ORD-000111,2023-04-03 08:00:00,2023-04-09 08:00:00,CUST-0623,PROD-0156,5,0.1,3633.62,1458.02
ORD-000112,2023-06-29 00:00:00,2023-07-01 00:00:00,CUST-0505,PROD-0161,3,0.2,2317.97,1213.97
ORD-000113,2023-02-05 04:00:00,2023-02-11 04:00:00,CUST-0971,PROD-0152,1,0.0,780.01,507.69
ORD-000114,2023-09-29 06:00:00,2023-10-03 06:00:00,CUST-0566,PROD-0083,7,0.2,3572.46,1121.76
ORD-000115,2023-06-24 05:00:00,2023-06-27 05:00:00,CUST-0085,PROD-0084,5,0.1,1530.99,953.89
ORD-000116,2023-10-18 19:00:00,2023-10-19 19:00:00,CUST-0684,PROD-0048,1,0.05,493.06,294.0
ORD-000117,2023-03-22 19:00:00,2023-03-23 19:00:00,CUST-0412,PROD-0060,2,0.1,311.38,207.36
ORD-000118,2023-08-15 21:00:00,2023-08-19 21:00:00,CUST-0009,PROD-0166,8,0.2,3153.09,1551.17
ORD-000119,2023-08-01 08:00:00,2023-08-03 08:00:00,CUST-0995,PROD-0005,9,0.0,6469.74,3167.64
ORD-000120,2023-06-26 13:00:00,2023-06-27 13:00:00,CUST-0205,PROD-0179,5,0.2,1469.08,751.63
ORD-000121,2023-09-27 21:00:00,2023-09-30 21:00:00,CUST-0335,PROD-0138,1,0.05,468.68,280.28
ORD-000122,2023-07-22 19:00:00,2023-07-23 19:00:00,CUST-0892,PROD-0092,1,0.05,880.18,536.43
ORD-000123,2023-06-04 06:00:00,2023-06-11 06:00:00,CUST-0895,PROD-0125,3,0.1,1618.65,566.52
ORD-000124,2023-05-29 10:00:00,2023-05-30 10:00:00,CUST-0946,PROD-0137,1,0.2,434.27,151.78
ORD-000125,2023-08-09 05:00:00,2023-08-11 05:00:00,CUST-0645,PROD-0060,7,0.05,1150.38,786.31
ORD-000126,2023-09-14 17:00:00,2023-09-21 17:00:00,CUST-0104,PROD-0095,6,0.0,1644.84,762.84
ORD-000127,2023-07-23 23:00:00,2023-07-24 23:00:00,CUST-0938,PROD-0065,7,0.0,3554.74,1578.99
ORD-000128,2023-08-24 02:00:00,2023-08-31 02:00:00,CUST-0798,PROD-0029,6,0.2,4662.58,1409.08
ORD-000129,2023-10-21 12:00:00,2023-10-27 12:00:00,CUST-0101,PROD-0181,7,0.1,4412.77,2756.08
ORD-000130,2023-02-28 12:00:00,2023-03-01 12:00:00,CUST-0627,PROD-0001,6,0.05,198.13,118.33
ORD-000131,2023-11-13 14:00:00,2023-11-20 14:00:00,CUST-0950,PROD-0126,6,0.0,4993.56,2674.74
ORD-000132,2023-08-12 03:00:00,2023-08-14 03:00:00,CUST-0356,PROD-0006,7,0.2,2546.43,1325.84
ORD-000133,2023-09-26 02:00:00,2023-09-30 02:00:00,CUST-0849,PROD-0075,5,0.1,3969.27,1482.82
ORD-000134,2023-04-24 10:00:00,2023-05-01 10:00:00,CUST-0216,PROD-0147,3,0.0,695.94,472.83
ORD-000135,2023-09-19 20:00:00,2023-09-20 20:00:00,CUST-0001,PROD-0028,9,0.05,3342.37,1657.93
ORD-000136,2023-06-28 11:00:00,2023-07-04 11:00:00,CUST-0204,PROD-0111,3,0.05,1765.18,1039.99
ORD-000137,2023-02-22 04:00:00,2023-02-25 04:00:00,CUST-0220,PROD-0164,4,0.05,3354.68,2036.96
ORD-000138,2023-11-05 04:00:00,2023-11-12 04:00:00,CUST-0506,PROD-0128,2,0.05,1459.5,758.34
ORD-000139,2023-11-18 15:00:00,2023-11-22 15:00:00,CUST-0325,PROD-0188,10,0.2,6223.52,3001.92
ORD-000140,2023-12-15 18:00:00,2023-12-21 18:00:00,CUST-0846,PROD-0042,10,0.1,8366.58,3471.38
ORD-000141,2023-11-18 10:00:00,2023-11-20 10:00:00,CUST-0626,PROD-0046,8,0.0,1902.48,1206.08
ORD-000142,2023-08-29 14:00:00,2023-09-04 14:00:00,CUST-0627,PROD-0133,5,0.1,2462.36,1300.31
ORD-000143,2023-10-30 01:00:00,2023-11-02 01:00:00,CUST-0893,PROD-0060,9,0.0,1556.91,1088.82
ORD-000144,2023-06-08 14:00:00,2023-06-12 14:00:00,CUST-0723,PROD-0103,1,0.0,600.61,358.14
ORD-000145,2023-07-08 09:00:00,2023-07-09 09:00:00,CUST-0463,PROD-0102,2,0.2,935.65,239.69
ORD-000146,2023-08-25 18:00:00,2023-08-30 18:00:00,CUST-0059,PROD-0062,1,0.2,559.7,196.49
ORD-000147,2023-10-20 20:00:00,2023-10-22 20:00:00,CUST-0302,PROD-0061,6,0.2,4450.8,1471.32
ORD-000148,2023-09-14 04:00:00,2023-09-15 04:00:00,CUST-0016,PROD-0070,8,0.0,4220.4,1770.8
ORD-000149,2023-06-25 22:00:00,2023-06-26 22:00:00,CUST-0883,PROD-0008,9,0.05,8187.82,4731.91
ORD-000150,2023-01-21 07:00:00,2023-01-27 07:00:00,CUST-0335,PROD-0030,8,0.2,4383.3,1856.9
ORD-000151,2023-09-26 16:00:00,2023-10-01 16:00:00,CUST-0090,PROD-0080,3,0.1,2011.47,1236.75
ORD-000152,2023-07-10 09:00:00,2023-07-14 09:00:00,CUST-0543,PROD-0172,7,0.1,4204.12,2285.63
ORD-000153,2023-12-14 19:00:00,2023-12-15 19:00:00,CUST-0644,PROD-0153,6,0.0,3497.4,1473.6
ORD-000154,2023-06-18 03:00:00,2023-06-23 03:00:00,CUST-0783,PROD-0159,7,0.1,721.22,249.84
ORD-000155,2023-05-10 23:00:00,2023-05-17 23:00:00,CUST-0941,PROD-0185,10,0.05,4719.88,2369.38
ORD-000156,2023-06-20 02:00:00,2023-06-25 02:00:00,CUST-0089,PROD-0154,3,0.1,1087.26,465.69
ORD-000157,2023-06-08 20:00:00,2023-06-14 20:00:00,CUST-0044,PROD-0137,7,0.05,3609.89,1632.46
ORD-000158,2023-11-01 22:00:00,2023-11-02 22:00:00,CUST-0929,PROD-0055,5,0.2,766.6,346.15
ORD-000159,2023-11-26 10:00:00,2023-12-03 10:00:00,CUST-0316,PROD-0127,3,0.0,1366.71,648.45
ORD-000160,2023-11-27 21:00:00,2023-12-01 21:00:00,CUST-0639,PROD-0177,9,0.1,1617.0,679.92
ORD-000161,2023-01-10 11:00:00,2023-01-13 11:00:00,CUST-0542,PROD-0150,3,0.05,1619.74,996.76
ORD-000162,2023-06-24 15:00:00,2023-06-26 15:00:00,CUST-0663,PROD-0174,4,0.05,1361.5,736.46
ORD-000163,2023-03-21 02:00:00,2023-03-24 02:00:00,CUST-0435,PROD-0132,2,0.0,1418.7,965.76
ORD-000164,2023-12-05 10:00:00,2023-12-12 10:00:00,CUST-0437,PROD-0008,10,0.05,9097.58,5257.68
ORD-000165,2023-11-02 12:00:00,2023-11-04 12:00:00,CUST-0099,PROD-0059,3,0.05,1398.72,862.62
ORD-000166,2023-12-21 19:00:00,2023-12-28 19:00:00,CUST-0186,PROD-0046,3,0.2,570.74,309.59
ORD-000167,2023-01-23 13:00:00,2023-01-26 13:00:00,CUST-0238,PROD-0171,4,0.2,964.13,456.37
ORD-000168,2023-11-09 09:00:00,2023-11-16 09:00:00,CUST-0485,PROD-0084,8,0.05,2585.67,1662.31
ORD-000169,2023-10-01 07:00:00,2023-10-04 07:00:00,CUST-0402,PROD-0041,8,0.05,2070.32,846.16
ORD-000170,2023-07-08 21:00:00,2023-07-13 21:00:00,CUST-0860,PROD-0142,8,0.2,595.9,276.62
ORD-000171,2023-05-25 12:00:00,2023-05-30 12:00:00,CUST-0679,PROD-0038,9,0.2,484.92,143.37
ORD-000172,2023-03-24 06:00:00,2023-03-31 06:00:00,CUST-0152,PROD-0070,10,0.05,5011.72,1949.72
ORD-000173,2023-05-09 01:00:00,2023-05-15 01:00:00,CUST-0538,PROD-0190,8,0.1,4417.42,1855.18
ORD-000174,2023-10-11 03:00:00,2023-10-17 03:00:00,CUST-0648,PROD-0047,9,0.0,2129.85,912.33
ORD-000175,2023-05-26 02:00:00,2023-06-02 02:00:00,CUST-0246,PROD-0092,3,0.1,2501.58,1470.33
ORD-000176,2023-08-19 16:00:00,2023-08-21 16:00:00,CUST-0399,PROD-0066,7,0.0,6728.19,4548.04
ORD-000177,2023-04-24 14:00:00,2023-04-27 14:00:00,CUST-0482,PROD-0158,1,0.2,408.72,203.15
ORD-000178,2023-01-28 12:00:00,2023-02-02 12:00:00,CUST-0635,PROD-0136,6,0.05,90.29,51.77
ORD-000179,2023-07-17 02:00:00,2023-07-20 02:00:00,CUST-0773,PROD-0133,4,0.0,2188.76,1259.12
ORD-000180,2023-06-13 03:00:00,2023-06-20 03:00:00,CUST-0038,PROD-0084,6,0.05,1939.25,1246.73
ORD-000181,2023-03-12 01:00:00,2023-03-15 01:00:00,CUST-0622,PROD-0008,8,0.05,7278.06,4206.14
ORD-000182,2023-12-28 15:00:00,2024-01-01 15:00:00,CUST-0352,PROD-0188,10,0.0,7779.4,4557.8
ORD-000183,2023-02-10 00:00:00,2023-02-13 00:00:00,CUST-0640,PROD-0003,4,0.05,2259.44,1523.24
ORD-000184,2023-10-08 23:00:00,2023-10-13 23:00:00,CUST-0062,PROD-0065,9,0.2,3656.3,1116.05
ORD-000185,2023-02-26 09:00:00,2023-02-28 09:00:00,CUST-0477,PROD-0021,5,0.0,377.65,160.9
ORD-000186,2023-01-25 07:00:00,2023-01-29 07:00:00,CUST-0180,PROD-0024,10,0.2,4348.72,1499.72
ORD-000187,2023-02-02 03:00:00,2023-02-09 03:00:00,CUST-0448,PROD-0064,8,0.0,6004.0,4099.84
ORD-000188,2023-11-20 16:00:00,2023-11-25 16:00:00,CUST-0382,PROD-0021,4,0.05,287.01,113.61
ORD-000189,2023-05-30 13:00:00,2023-05-31 13:00:00,CUST-0149,PROD-0197,10,0.1,4942.08,2227.88
ORD-000190,2023-05-04 18:00:00,2023-05-08 18:00:00,CUST-0726,PROD-0071,3,0.0,738.9,429.51
ORD-000191,2023-09-26 11:00:00,2023-09-27 11:00:00,CUST-0486,PROD-0029,9,0.0,8742.33,3862.08
ORD-000192,2023-07-19 15:00:00,2023-07-20 15:00:00,CUST-0408,PROD-0034,7,0.1,5312.48,2642.68
ORD-000193,2023-05-10 23:00:00,2023-05-11 23:00:00,CUST-0147,PROD-0163,6,0.0,1974.48,1236.72
ORD-000194,2023-06-26 07:00:00,2023-07-02 07:00:00,CUST-0506,PROD-0086,2,0.1,217.37,76.43
ORD-000195,2023-03-10 01:00:00,2023-03-13 01:00:00,CUST-0771,PROD-0001,9,0.1,281.56,161.86
ORD-000196,2023-11-26 05:00:00,2023-12-03 05:00:00,CUST-0375,PROD-0149,8,0.2,4000.77,2142.61
ORD-000197,2023-11-20 05:00:00,2023-11-27 05:00:00,CUST-0180,PROD-0067,3,0.0,1797.24,894.0
ORD-000198,2023-08-23 01:00:00,2023-08-26 01:00:00,CUST-0627,PROD-0057,4,0.0,2622.48,1410.44
ORD-000199,2023-04-13 01:00:00,2023-04-16 01:00:00,CUST-0930,PROD-0127,5,0.2,1822.28,625.18
ORD-000200,2023-10-06 15:00:00,2023-10-09 15:00:00,CUST-0464,PROD-0089,1,0.05,854.99,370.04
ORD-000201,2023-05-27 11:00:00,2023-06-03 11:00:00,CUST-0559,PROD-0155,1,0.1,99.79,40.83
ORD-000202,2023-05-20 03:00:00,2023-05-27 03:00:00,CUST-0538,PROD-0079,6,0.2,4509.79,2591.53
ORD-000203,2023-07-24 23:00:00,2023-07-28 23:00:00,CUST-0374,PROD-0186,7,0.1,1009.32,399.97
ORD-000204,2023-04-06 15:00:00,2023-04-12 15:00:00,CUST-0193,PROD-0003,8,0.1,4281.05,2808.65
ORD-000205,2023-09-23 08:00:00,2023-09-30 08:00:00,CUST-0223,PROD-0159,2,0.2,183.17,48.49
ORD-000206,2023-02-10 13:00:00,2023-02-15 13:00:00,CUST-0740,PROD-0052,3,0.1,1125.87,426.39
ORD-000207,2023-06-14 03:00:00,2023-06-15 03:00:00,CUST-0795,PROD-0049,6,0.1,2936.74,1249.72
ORD-000208,2023-06-06 14:00:00,2023-06-11 14:00:00,CUST-0282,PROD-0174,7,0.05,2382.63,1288.81
ORD-000209,2023-12-20 14:00:00,2023-12-23 14:00:00,CUST-0502,PROD-0063,8,0.0,1306.0,797.92
ORD-000210,2023-06-30 19:00:00,2023-07-04 19:00:00,CUST-0121,PROD-0127,5,0.0,2277.85,1080.75
ORD-000211,2023-02-08 21:00:00,2023-02-14 21:00:00,CUST-0481,PROD-0063,7,0.1,1028.48,583.91
ORD-000212,2023-09-20 23:00:00,2023-09-26 23:00:00,CUST-0758,PROD-0070,3,0.0,1582.65,664.05
ORD-000213,2023-03-15 19:00:00,2023-03-21 19:00:00,CUST-0096,PROD-0122,8,0.0,1813.2,831.84
ORD-000214,2023-03-06 02:00:00,2023-03-08 02:00:00,CUST-0546,PROD-0188,6,0.1,4200.88,2267.92
ORD-000215,2023-07-16 18:00:00,2023-07-17 18:00:00,CUST-0931,PROD-0078,10,0.05,168.53,71.83
ORD-000216,2023-12-14 14:00:00,2023-12-17 14:00:00,CUST-0160,PROD-0097,6,0.2,3928.42,1777.18
ORD-000217,2023-02-09 18:00:00,2023-02-11 18:00:00,CUST-0719,PROD-0044,9,0.1,3594.13,1776.04
ORD-000218,2023-07-23 10:00:00,2023-07-29 10:00:00,CUST-0855,PROD-0046,5,0.05,1129.6,694.35
ORD-000219,2023-02-28 00:00:00,2023-03-06 00:00:00,CUST-0666,PROD-0163,3,0.2,789.79,420.91
ORD-000220,2023-09-23 12:00:00,2023-09-28 12:00:00,CUST-0302,PROD-0004,2,0.1,432.59,201.59
ORD-000221,2023-05-14 22:00:00,2023-05-18 22:00:00,CUST-0187,PROD-0127,4,0.1,1640.05,682.37
ORD-000222,2023-12-22 15:00:00,2023-12-24 15:00:00,CUST-0228,PROD-0031,2,0.05,228.84,125.16
ORD-000223,2023-02-07 14:00:00,2023-02-09 14:00:00,CUST-0320,PROD-0148,8,0.0,6053.52,2512.88
